village,soil,total_sqft,density,price(*100)
Shikhera,2 index,1100,2,50
Shimla,2 index,120Sq. Yards,2,51
Shirjepur,2 index,1105,2,57
Shivpuri,2 index,1110,2,46.5
Shodatt,1 index,708,1,41
Sikandarpur,2 index,1027,2,44
Singhpur,3 index,1600,3,100
Sona,4 index,3122,6,250
Sujatpur,2 index,1205,2,37
Sultanpur Dabal,3 index,1450,2,73
Tajpura,4 index,750,4,125
Takhawali,1 index,540,1,22
Tarapur,2 index,1200,2,42
Tarbiyatpur Janubi,5 index,1200,5,260
Tarbiyatpur Shumali,3 index,1837,2,95
Tatina,2 index,1346,2,76.01
Tigri,2 index,1012,2,68
Tofapur,3 index,1950.2,3,193
Veerkhera,2 index,1125,2,55
Akhtyarpur,3 index,1500,2,60
Alamgirpur-Faridpur,2 index,1197,2,79.9
Andawali,3 index,1230,2,31.37
Aterna,2 index,1100,2,47
Atmadnagar Allipur,3 index,1563,2,52
Aurangnagar Rardhana,7 index,2240,4,700
Badruddinnagar Nanu,4 index,3729,4,384
Bahadurpur,3 index,1600,3,120
Bahrala,3 index,1715,3,120
Baparsa,4 index,2400,4,180
Baparsi,2 index,1151,2,42.5
Barkali Nekpur,6 index,1200,6,220
Batjeora,2 index,1123,2,60
Bhalsauna,2 index,1276,2,69.5
Bhamori,2 index,1315,2,77
Bharota,3 index,1270,2,50.79
Bhawa-Nagla,2 index,1325,2,52
Bhuni,3 index,1600,3,63.2
Bihta,3 index,1660,3,104
Bubakpur,2 index,1299,2,58
Chandna,2 index,953,2,90
Charla,2 index,1457,2,60
Chhabariya,2 index,1000,1,65
Chhur,3 index,1100,2,76.3
Chindauritappa Lawar,3 index,1075,2,33.53
Chirori,3 index,1450,3,51
Dabathuwa,5 index,5515,6,425
Dabathuwa Garhi,1 index,950,1,40
Dadri,5 index,1200,3,180
Dahar,2 index,1013,2,60
Daulatpur,2 index,1140,2,56
Daurala (NP),3 index,2100,3,220
Deoli Khera Urf Jainpur,3 index,1430,3,61
Dhanju,4 index,600,3,95
Dhanwali,3 index,1600,3,77
Dulehra Chauhan,2 index,1190,2,48
Gesupur Baphawat,3 index,1625,3,95
Gotka,2 index,1210,2,53
Harar,3 index,1615,3,150
Ikari,2 index,1180,2,85
Jafarnagar-Begamabad,2 index,1500,2,91
Jainpur,2 index,850,2,45
Jalalabad Urf Jalalpur,2 index,1130,2,55
Jalalpur-Akkhepur,2 index,907,2,38
Jamalpur Goma,2 index,1300,2,90
Jamalpur Jalalpur,3 index,1891,3,110
Jasar Sultannagar,3 index,1735,3,78
Jasrathpur,3 index,1075,2,33
Jeori,5 index,24Sq. Meter,5,75
Jhitkari,7 index,2040,4,123
Jitpur,3 index,1590,3,57
Julehra,5 index,1600,5,140
Kaili,2 index,1160,2,55
Kailota,2 index,930,1,55
Kakkepur,2 index,1010,2,58
Kaland,2 index,1221,2,68
Kalandi,4 index,2400,4,470
Kamaruddinnagar Madhiyai,2 index,1108,2,87.48
Kanora,4 index,1000,4,120
Kapsarh,2 index,1370,2,70
Karnawal (NP),2 index,920,2,41.5
Karnawal Rural,2 index,1277,2,79.89
Khanuda,2 index,1213,2,38.1
Khawajahanpur-Kushawali,3 index,1653,3,85
Khera,4 index,2400,3,140
Kheri Jatran,4 index,3000,5,500
Kheri Kalan,4 index,1600,4,250
Kheri Tappa Lawar,3 index,1321,2,40
Khirwa Jalalpur,3 index,1570,3,68
Khirwa Nauabad,8 index,1150,8,70
Khiwai,2 index,1053,2,44
Kulanjan,3 index,1325,2,56
Lawar (NP),2 index,1169,2,50.11
Lawar Janaali Rural,2 index,1274,2,90
Lawar Khas Rural,2 index,1317,2,52
Lawri Hiranpur,2 index,1195,2,75
Loiya,4 index,2528 - 3188,4,137
Machhri,2 index,940,2,35
Madaripur,3 index,1820,3,95.5
Madarpura,3 index,1450,3,53.6
Mahadeo,3 index,1615,3,96.9
Mahalka,3 index,2200,2,99
Mail,2 index,985,2,62.5
Mainaputhi,2 index,1116,2,33
Maithna Indersingh,2 index,656,2,25
Mamupur Urf Dedwa,2 index,1105,2,39.5
Mamuri,2 index,1220,2,55
Mandora,3 index,1400,3,74
Mataur,4 index,2400,3,185
Mawi Mira,3 index,850,3,63
Meharmati Ganeshpur,2 index,1000,2,35
Mithepur,3 index,1660,3,80
Mohammadpur Akbarpur Chakbandi,3 index,1330,2,57
Mohammadpur Akbarpur Chakbandi,2 index,1165,2,52
Mohammadpur Hayak,2 index,1153,2,56
Mohanipur,2 index,1270,2,45
Mozamabad-Jwalagarh,2 index,1070,2,38
Mukhtyarpur Nagla,3 index,1427,2,85
Mulhaira,3 index,1420,2,95
Nagla Order,4 index,1600,5,130
Nagla Rathi,2 index,2031,2,200
Nagli Ajar Salempur,2 index,1454,2,90
Nagli Mazra Mataur,2 index,1116,2,48.76
Nagli Sadharan,4 index,2000,3,180
Nahli,2 index,1346,2,74.03
Nangla Sani,2 index,1062,2,50
Nehori,1 index,700,1,25.5
Pali,2 index,1405,2,99
Panchli Buzurg,2 index,1100,2,50
Panwari,3 index,2153,4,120
Pathauli,3 index,1200,3,120
Pavli Khas,3 index,2135,3,170
Pavli Khurd,2 index,1125,2,47
Pithlokhar,3 index,1350,2,47.25
Pohali,2 index,1068,2,48
Rajpur Momin,2 index,940,2,32.9
Rasulpur Muradnagar,2 index,1063,2,32.79
Ratauli,2 index,1382,2,84.5
Rithali,2 index,936,2,45
Ruhasa,3 index,1400,2,60
Sahipur Daurala,1 index,475,1,26
Sakoti,2 index,1200,2,115
Salawa,3 index,1450,3,65
Samaspur,2 index,1162,2,52
Samaspur Surani,2 index,1161,2,48.75
Samoli-Salempur,3 index,1623.29,2,105
Sardhana (NPP),2 index,1260,2,70
Sardhana (Rural),4 index,1672,3,190
Saroli Viran,3 index,3000,4,240
Sarswa,3 index,1500,2,70
Sarurpur Khurd,1 index,650 - 760,1,34.545
Shahpur Pirpur,5 index,1650,6,200
Shahpur Zadid,3 index,2000,3,200
Siwaya-Jamalullapur,1 index,1675,1,241
Tanda,3 index,1200,3,150
Tandi,2 index,1100,2,46.2
Teharki,3 index,1400,2,56
Ulakhpur,3 index,2257,3,155
Walidpur,2 index,1153,2,56.5
Zafrabad-Durweshpur,2 index,1197,2,56.86
Afzalpur Pawati,2 index,1150,2,90
Ahara,1 index,595,1,40
Ajnauli,3 index,1837,3,110
Ajrara,4 index,3750,4,190
Alamgir Pur,3 index,1830,3,91.86
Alampur Buzurg,3 index,1715,3,115
Allipur,2 index,970,2,35
Allipur Jijmana,4 index,1200,3,148
Amanullapur,4 index,2700,5,95.75
Amehra Adipur (CT),3 index,5480,4,400
Aminagar Urf Bhurbaral (CT),4 index,2400,5,135
Arnawali,4 index,3040,4,135
Ataula,2 index,1168,2,66
Atrara,2 index,1160,2,36.54
Azampur,3 index,1500,3,75
Azizpur,2 index,600,2,72
Badha Girdharpur,8 index,1200,7,250
Badhala Kaithwara,2 index,850,2,25.4
Badholi,2 index,935,2,39
Bafar,5 index,1200,5,235
Bahadurpur,1 index,654,1,49
Bahchaula,3 index,1650,3,180
Bahrampur Khas,3 index,5656,5,499
Bahrampur Morna,2 index,1300,2,33
Bajaut,2 index,950,2,60
Banwaripur,3 index,1250,3,54
Baram,2 index,1072,2,42.87
Barhanpur,3 index,1425,2,65
Basatikri,2 index,1165,1,42.09
Bhadaura,3 index,1390,2,69.49
Bhagwanpur,3 index,1510,3,78
Bhagwanpur Chittawan,2 index,1305,2,90
Bhagwanpur Khalsa,6 index,1200,6,170
Bhavi,2 index,866,2,32
Bhawanpur,2 index,1231,2,84.5
Bhurpur,3 index,1360,2,45
Bijoli,3 index,2500,3,138
Bohla,2 index,1140,2,55
Chak Morna,1 index,525,1,30
Chandora,2 index,1295,2,64.5
Chandsara,2 index,1020,2,45.75
Chhajmalpur Urf Chhajupur,4 index,3504,4,262
Chhattri,2 index,1200,1,50
Chindori Khas,2 index,1100,2,41
Chindori Patti Dalu,4 index,4723,4,500
Chobla,2 index,820,2,37
Dalampur,4 index,3508,4,386
Damgarhi,4 index,3700,4,400
Datavali Gesupur,2 index,1354,2,70
Daulatpur Fakhrabad Urf Kayast,4 index,2453,3,250
Dhadra,2 index,1154,2,51.8
Dhanota,3 index,1680,2,92
Dhikauli,2 index,1205,2,60
Dhilaura,3 index,1400,2,86
Dhindala,3 index,1625,3,150
Dhir Khera,3 index,1500,3,73
Dilwara,3 index,1520,2,80
Dimoli,2 index,1300,3,65
Dungar,2 index,1150,2,47
Durjanpur,3 index,1762,3,109
Faizabad Pachgaon,2 index,1153,2,58
Fakharpur Kabatta,4 index,2650,4,223
Fatehpur,3 index,1350,2,47
Fatehpur Ambkhera,2 index,950,2,56
Gagaul,3 index,3295,3,310
Gangheri,3 index,1515,3,80.5
Gejha,2 index,1100,2,30
Ghat,2 index,1250,2,65
Govindpur,2 index,1200,2,120
Govindpur Urf Ghasauli,7 index,2500,8,95
Gyanpur,4 index,1200,4,100
Hajipur,3 index,1355,2,51.5
Hasanpur Qadim,3 index,1115,3,39.14
Hasanpur Razapur,3 index,1275,3,45
Idris Pur,3 index,2051,3,170
Ikla,3 index,1470,2,99
Incholi,3 index,1550,2,70
Islamabad Chhilora,3 index,1270,2,73
Itayira,4 index,2119,4,111
Jalalpur,3 index,1600,3,170
Jalaluddinpur Masoodpur Gawri,3 index,1320,2,50
Jamalpur Majra,3 index,2505,3,165
Jangethi,3 index,1410,2,54
Jani Buzurg,2 index,1200,2,70
Jani Khurd,3 index,1705,2,86.96
Janjokhar,2 index,995,2,48
Jasora,2 index,1081,2,52
Jasori,2 index,1194,2,46
Jataula,1 index,605,1,30.24
Jatpura,1 index,567,1,25
Jithauli,2 index,1718,3,275
Johra,3 index,1400 - 1421,2,70.385
Jurranpur,3 index,600,5,135
Kaili,3 index,1715,3,105
Kaithwari,4 index,3206,5,270
Kalanjari,4 index,1500,4,235
Kalina,3 index,1846,3,120
Kalyan Pur,3 index,600,3,90
Kamalpur,2 index,1015,2,56
Kanauni,4 index,4350,8,2600
Kastala Shamshernagar,2 index,1100,2,36
Kaul,3 index,1965,4,125
Kazamabadgoon,2 index,1021,2,45.9
Khajuri,2 index,1230,2,67.65
Khandawali,2 index,1260,2,55
Khanpur,4 index,2400,4,700
Khanpur,3 index,1894,4,114
Khardoni Shekhupur,6 index,1500,4,233
Kharkhari,3 index,1950,3,131
Kharkhauda,2 index,1231,2,66
Kharkhoda (NP),2 index,1236,2,58
Khaspur,4 index,1800,3,120
Khawajahanpur,3 index,1650,3,135
Khera Balrampur,5 index,750,3,88
Kheri Nizd Kalina,3 index,1443,2,70
Kherki Muzakkipur,4 index,886,4,120
Khwajampur Majra,2 index,925,2,68
Kinannagar,3 index,1305,3,33.28
Kishori,2 index,1190,2,46.41
Kitholi,2 index,1284,2,53.36
Kudhla,4 index,350,3,45
Kunkura,3 index,875,3,115
Kurali,2 index,1325,2,59
Kuri,6 index,2400,5,750
Ladpura,2 index,1183,2,79.54
Laharra,3 index,1750,3,100
Lahaurgarh,4 index,16335,4,149
Mahroli,1 index,747,1,27
Makarmatpur Bharapur,2 index,1342,2,90
Mamipur,2 index,1113,2,52
Mansabgarh,3 index,1738,3,110
Masoori,2 index,1206,2,90
Mau Khas,4 index,2790,4,198
Medpur,2 index,1162,2,59
Meerut (CB),2 index,1194,2,46
Meerut (M Corp.),3 index,1857,4,155
Mehpa,6 index,3500,6,115
Mewla,2 index,1763,3,240
Mirpur,2 index,1150,2,45.99
Mirpur Jakhera,4 index,2400,5,550
Mirzapur,2 index,1290,2,72
Mohd.Pur Gumi,4 index,3408,5,145
Mohdpur Dhumi,2 index,900,2,145
Mohiuddinpur (CT),2 index,1150,2,70
Mohiuddinpur Lalsana,3 index,1040,2,109
Morna,2 index,1160,2,64.08
Mundali,2 index,900,2,27
Murlipur Phool,4 index,1750,3,185
Muzaffarnagar Saini,3 index,1320,2,38.12
Muzakkipur,4 index,2240,4,160
Nagla Kaboolpur,2 index,891,2,26
Nagla Kumbha,5 index,1000,4,80
Nagla Mal,3 index,1852,3,125
Nagla Patu,3 index,1323,2,42
Nagla Shekhu,2 index,1404,2,67.5
Nagli Azamabad,2 index,1370,2,60
Nalpur,3 index,1385,2,48.48
Nanu Fatahpur,2 index,1129,2,50
Narahara,3 index,1876,3,150
Narangpur,3 index,1720,3,95
Nek,4 index,1200,4,80
Nityanandpur,2 index,1175,2,86.68
Pabla,1 index,500,1,51
Pachgaon Patti Amar Singh,5 index,1200,5,85
Pachgaon Patti Gopal,1 index,1200,1,295
Pachgaon Patti Sanwal,3 index,1893,3,130
Pachpera,3 index,1430,3,52
Paindapur,2 index,850,2,45
Panchi,2 index,1392,2,110
Panchli Khurd,3 index,1938,3,105
Pastra,2 index,1020,2,52
Patti Kherki,3 index,2400,2,360
Peepli Khera,3 index,1832,3,160
Pepla,3 index,1423,2,85
Puth Khas,2 index,1432,2,85
Puthri,4 index,1350,4,235
Qasimpur,8 index,1500,6,270
Raghunathpur,3 index,1480,3,65
Rajpura,3 index,1843,3,96.2
Rajpura,3 index,760,4,95
Rali Chauhan,3 index,1916,2,150
Rampur Moti,2 index,1255,2,55.5
Rasna Mohammadpur Akbarpur,2 index,1160,2,44.08
Rasulpur Aurangabad,2 index,2640,2,170
Rasulpur Dhantala,2 index,1160,2,53
Rasulpur Dhaulri,2 index,1200,2,80
Rasulpur Marhi,2 index,1100,2,44
Rasulpur Rohta,3 index,1500,3,100
Rasulpur Zahid,3 index,1336,2,50.35
Rawa,2 index,1065,2,46
Rukanpur,2 index,1294,2,115
Ruknuddinpur Misri Urf Phaphun,3 index,1550,3,68.5
Sadharanpur,2 index,1216,2,75
Sadullapur Urf Chandpura,2 index,1005,2,40
Salahpur,3 index,1430,2,102
Salarpur Jalalpur,4 index,4100,4,660
Saleh Nagar,3 index,1660,3,125
Salempur,3 index,1430,2,56
Sameypur,3 index,1470,2,75
Satwai,2 index,1045,2,76.77
Set Kuan,4 index,4000 - 4450,6,359
Sewalkhas (NP),2 index,950,2,30
Shafiabad Loti,3 index,1382,3,65
Shahpur Jainpur,2 index,930,2,46
Shakarpur,3 index,1660,2,116
Shaulana,2 index,1290,2,71.95
Shekhpuri,3 index,1010,2,45
Shipura,4 index,3050,4,130
Sial,2 index,1200,2,71
Sikarpur,3 index,1650,3,140
Sikhera,3 index,1636,3,88
Sikri,3 index,2367,3,320
Sindhawali (CT),2 index,1153,2,56.55
Sisola Buzurg,3 index,2087.01,4,160
Sisola Khurd,2 index,1200,2,47
Sisoli,3 index,1844,3,89
Siwal Khas,3 index,142.84Sq. Meter,3,110
Soharka,2 index,1215,2,43.75
Tatina Sani,2 index,1194,2,57
Thirot,2 index,1220,2,52
Tikri,4 index,3150,4,150
Timakia,1 index,525,1,26
Ukasia,2 index,955,2,37.97
Ukhleena,5 index,2000,5,75
Uldeypur,2 index,884,2,48
Uldhan,2 index,1250,2,68.75
Uplehra,2 index,7000,2,135
Yusufabad,3 index,2400,4,300
Achikalan,4 index,2990,4,225
Afjalpur Urf Raninagla,2 index,1195,2,52
Agwanpur,1 index,2559,1,55
Ahmadnagar Badhla,2 index,1200,2,33
Ahmadpur Urf Dandoopur,2 index,984,2,45.75
Ahmadpuri Urf Amanpuri,2 index,1089,2,40
Aidalpur,2 index,1165,2,52
Aidalpur,1 index,410,1,10
Akbaarpur Khadar,3 index,1482,3,110
Akbarpur Garhi,2 index,1200,2,68
Akbarpur Ichchhabad,3 index,1938,3,113
Akbarpur Sadat,3 index,1166,2,34.97
Akheypur,3 index,1275,2,55.46
Alamgirpur Badhla,2 index,1140,2,43
Alawalpur,4 index,3734,5,430
Alipur Alampur,1 index,720,1,28
Alipur Morna,3 index,1200,3,228
Amarpur Mazra Khandawli,2 index,1100,2,90
Amarsinghpur,2 index,1162,2,98.77
Ameharasani,1 index,540,1,35
Aminabad Urf Baragoan,3 index,1550,2,73.5
Amroli Urf Baragoan,3 index,1300,3,145
Asfabad,5 index,1200,5,130
Asilpur,2 index,1220,2,60
Askaripur,2 index,964,2,62
Assa,3 index,1500,3,50
Atalpur,3 index,1347,2,44
Atmadpur,4 index,5000,5,250
Attaura,4 index,3000,4,140
Badhwa,2 index,1120,2,42.5
Badhwi,1 index,600,1,22.8
Badshahpur,3 index,2321,4,157
Baghpur,1 index,540,1,24
Bahadurpur,2 index,1150,2,57
Bahorpur,3 index,1484,3,75
Bahsuma (NP),3 index,1680,2,68
Bajampur,2 index,620,2,23
Bali,3 index,1650,3,78
Bamnaula,3 index,1250,3,44
Bamnauli,3 index,2072,3,108
Bana,2 index,1105,2,40
Barauda,2 index,1200,2,60.5
Basiviran,7 index,3100,7,145
Bastora Norang,4 index,4007,4,530
Batawli,2 index,550,2,16
Batnor,3 index,1340,2,53.6
Behbalpur,3 index,2409,3,395
Behjadka,2 index,1194,2,46
Behlolpur,2 index,1246,2,65
Behrora,2 index,1055,2,75
Behsuma,3 index,1541,3,69.61
Bela,2 index,1370,2,88
Bhagawanpur,2 index,1224,2,75
Bhagupur,4 index,650,2,58
Bhagwanpur Bangar,2 index,883,2,39
Bhagwanpur Khadar,3 index,1676,3,92.13
Bhainsa,2 index,1154,2,57
Bharolli,3 index,1610,3,78.5
Bhattipura,2 index,1057,2,42
Bhirwara,2 index,1157,2,65
Bhndora,4 index,1200,4,85
Bhogpur,7 index,1500,7,130
Bhojpur,2 index,980,2,35
Bhuwa,2 index,1140,2,40
Bisola,2 index,1206,2,40.7
Bondra,1 index,575,1,16.75
Chak Paswara,3 index,1600,3,170
Chamraud,4 index,2400,4,500
Chandlawar Urf Mahalwala,3 index,1300,2,52
Chandpur,3 index,1270,2,35.56
Chhuchai,2 index,1128,2,63.5
Chitwana Sherpur,1 index,640,1,45
Dabkheri,3 index,2400,3,185
Dabthla,3 index,1200,2,66
Dariapur,2 index,1090,2,38.15
Daulatpur Urf Mamipur,1 index,589,1,29
Dayalpur,2 index,1125,2,28.13
Dayalpur,2 index,1140,2,50.66
Dedupur,4 index,3150,4,500
Dhanpura,2 index,1315,2,74
Dhanpura,2 index,300Sq. Yards,2,150
Dhikauli,3 index,1435,2,115
Dhuma Nagli,2 index,1092,2,44
Dudheli Bangar,2 index,1314,2,80
Dudhli Khadar,2 index,1260,2,100
Duperi Chaw,7 index,1875,5,192
Durveshpur,2 index,1080,2,49
Fajilpur,8 index,4000,8,160
Fatehpur Narain,3 index,1082,2,45
Fatehpur Prem,3 index,1150,3,65
Firozpur,2 index,1052,2,34.72
Ftahpur Hansapur,2 index,1045,2,45
Gagsona,3 index,1442,3,80
Gajraula,3 index,1500,2,75
Gajrauli,2 index,497,1,20
Gajupura,2 index,1255,2,53.57
Ganeshpur,3 index,1432,3,79
Garina,3 index,2100,3,150
Gayanagla Urf Nagla Katar,2 index,1450,2,80
Gazipur,2 index,1346,2,69.61
Gesupur Januvi,2 index,1200,2,29
Gesupur Shumali,3 index,925,2,49.82
Gokulpur,2 index,1160,2,49
Govindpur Sakarpur,3 index,1768,3,81.31
Govindpuri,2 index,1094,2,54
Guramb,3 index,1500,3,90
Gurha,3 index,1745,3,130
Hadipur Gaori,7 index,2875,7,85
Haripur,4 index,3500,3,425
Harisinghpur,3 index,1550,3,50
Hasanpur Kalan,4 index,2340,5,160
Hastinapur (NP),3 index,1655,3,113
Hastinapur Kaurwan,3 index,2024,3,103
Hastinapur Pandwan,4 index,3100,5,425
Hatoopura,3 index,1575,4,100
Hazratpur,3 index,1920,3,130
Himaupur,4 index,6200,4,744
Ibrahimpur,3 index,1082,2,55
Ikwara,3 index,1265,2,55
Issapur,3 index,1100,2,45
Jafarpur Nagla,2 index,1160,2,65
Jai,2 index,1246,2,67.4
Jaisinghpur,1 index,615,1,43.08
Jalalpur Jora,2 index,1128,2,60
Jalalpur Maqbulpur,2 index,1260,2,55
Jalalpur Raunakali,3 index,1830,3,89.89
Jamalpur Khadar,3 index,1525,2,68
Jamalpur-Meghrajpur,1 index,602,2,30
Jandheri,7 index,3000,4,400
Jarauda,3 index,1835,3,89
Jataula,3 index,1250,3,62.6
Jeetpur,4 index,1200,4,110
Jharaka,3 index,1855,3,96
Jhijharpur,3 index,1450,3,60.91
Jhunjhunee,3 index,2089,3,148
Kabirpur,3 index,1464,3,56
Kailirampur,4 index,4800,3,200
Kandala,2 index,1200,2,44.73
Kanker Khera,2 index,1095,2,45
Kareempur,3 index,2900,3,297
Kasimpur,3 index,2500,3,345
Katra,3 index,1170,3,80
Kayasth Barha,2 index,1280,2,88
Khaikhera,2 index,1224,2,105
Khalidpur,3 index,1694,3,125
Khand Awli,2 index,825,2,30
Khanpur Banger,3 index,1612,3,98.38
Khanpur Garhi,2 index,985,2,25.12
Khanwala,2 index,1175,2,75
Kharkhali,1 index,600,1,24
Khata,3 index,1740,3,85
Khatki,3 index,1770,3,99
Khejuri Alyarpur,8 index,1000,7,260
Kheri Kalan,2 index,1090,2,46
Kheri Khurd,6 index,2295,3,650
Kheri Manihar,5 index,4144,5,331
Kherki Jadid,3 index,1800,3,130
Khijarpur,3 index,1221,3,65
Khor Ahir,2 index,1046,2,48
Khorrai,3 index,1290,2,56.12
Kiratpur,2 index,1065,2,30.76
Kishanpur,3 index,1850,4,121
Kishanpur Birana,2 index,1097,2,49
Kishorpur,2 index,1200,3,70
Kithaur (NP),3 index,2160,3,170
Kithor Rural,2 index,1140,2,52
Kohla,2 index,1297,2,98
Kol,2 index,1150,2,50
Kunda,2 index,1375,2,45
Kunehra,2 index,1245,2,58
Kuri Kamalpur,4 index,4750,6,948
Kutubpur,4 index,1800,3,180
Laliyana,3 index,1594,3,140
Lalpur,3 index,1200,2,66
Lalpur,1 index,645,1,16.45
Latifpur,2 index,700,2,36
Lutfullapur Baksar,5 index,2500,4,650
Machhra,2 index,1000,2,50
Mahamudpur Shikhera,6 index,4000,5,540
Mahmudabad,2 index,1160,2,42
Mahmudpur Garvi,6 index,1200,6,85
Mahmudpur Sherki,5 index,600,3,140
Makhannagar,3 index,1570,2,95
Makhdumpur,2 index,1290,2,88
Mamipur,2 index,1200,2,44.4
Mandwari,3 index,2777.29,5,649
Manoharpur,3 index,2250,3,180
Manpur,2 index,1270,2,172
Manpur,2 index,1145,2,44
Matora,3 index,1320,2,46
Mavi,2 index,1065,2,30.75
Mawana (NPP),3 index,1650,3,48
Mawana Kalan,2 index,1371,2,86
Mawana Khurd,5 index,2700,5,150
Meerpur,3 index,1575,3,94.5
Meerpur Sadhunagal,2 index,1362,2,66
Meghrajpur,5 index,3210,,353
Mewa,3 index,1255,3,90
Mirzapur,2 index,925,2,35
Mishipur,2 index,1088,2,30.46
Mohammadpur Kheri,2 index,1234,2,80
Mohammadpur Shakist,3 index,2140,3,139
Mor Kalan,3 index,1584,3,101
Morkhurd,2 index,1175,2,50
Mubarikpur,3 index,1555,3,52
Mubarikpur,1 index,645,1,16.45
Murad Gaon Urf Kuwan Khera,3 index,1585,2,79
Muradpur Urf Sholda,2 index,1354,2,71
Muzaffarpur Khunti,2 index,1165,2,45
Nagla Azdi,3 index,1200,3,75
Nagla Chand,3 index,1740,2,137
Nagla Gusai,9 index,1200,9,185
Nagla Hareroo,2 index,985,2,50.17
Nagla Jarif,2 index,1200,2,36
Nagla Salempur,3 index,600,4,70
Nagla Shahu,3 index,1340,2,47
Nagli Abdulla,3 index,1583,3,95.23
Nagli Issa,4 index,1200,5,325
Nagli Khadar,2 index,1200,1,180
Nagli Kithaur,2 index,1115 - 1130,2,61.74
Nagori,3 index,1573,3,100
Nai Putha,2 index,1227,2,42.88
Naidru,2 index,1210,2,60
Narangpur,3 index,1650,3,125
Nasarpur,5 index,1000,4,300
Navipur Amanatnagar,3 index,1485,2,63
Nawal Surajpur,3 index,1735,3,97
Neemka,3 index,1730,3,175
Niloha,3 index,1684,3,86
Nimka Viran,3 index,1686,3,77
Nirawali,3 index,1654,3,82
Nityanandpur,3 index,1600,3,105
Paharpur,2 index,1100,2,39.9
Paharpur Kutub,3 index,1655,3,95
Paharpur Ram,3 index,1830,3,121
Pali,3 index,1430,3,85
Palra,3 index,1989,4,155
Parichhatgarh,2 index,1044,2,55
Parikshitgarh (NP),3 index,1426,3,85
Partapur Hansapur,2 index,1115,2,50
Paswara,2 index,1000,2,29
Pathanpur,2 index,754,2,69.99
Penai,2 index,1140,2,33.06
Phalauda (NP),2 index,900,2,35
Phalawda Rural,2 index,1200,2,50
Phitkari,1 index,580,1,45
Pilona,3 index,1200,2,66
Poothi,2 index,1030,2,50.36
Rachhoti,3 index,1910,4,150
Radhna Inayatpur,3 index,1950,3,132
Rafan,3 index,1724,3,125
Rahawati,3 index,1200,2,130
Rahmapur,2 index,1314,2,225
Rajoopur,2 index,1400,2,65
Rampur Ghoria,3 index,1400,2,68
Rampur Sadhu Nagli,2 index,1115,2,44.6
Rasulpur Goari,2 index,1300,2,55.86
Rasulpur Hansapur,4 index,2400,4,150
Rasulpur Ikla,2 index,1332,2,108
Rathaura Khurd,2 index,1000,2,41
Rathora Kalan,3 index,1200,3,67.75
Rehadra,4 index,2444,4,145
Roopra,2 index,1070,2,48
Rustampur Bhikund,3 index,1600,3,85
Sadarpur,2 index,1196,2,57.95
Sadullapur,2 index,1025,2,54
Sadullapur,3 index,1220,3,56
Saidipur Sadipur Urf Ramnagar,3 index,2180,4,180
Saidipur Seth,3 index,1600,3,102
Saifpur Firojpur,2 index,1270,2,110
Saifpur Karamchandpur,3 index,3290,4,460
Sakoti,3 index,1932.47,3,183
Salah Rasulpur Panah,3 index,2086,3,160
Salarpur,2 index,1165,2,51.42
Sandhan,3 index,1310,3,63.25
Sanota,2 index,1440,2,165
Sarai Khadar,3 index,1900,3,85
Sarangpur,2 index,740,1,22
Sathla,3 index,2503,3,138
Seena,2 index,1075,2,60
Shah Kulipur,2 index,1260,2,83.5
Shahabad Garhi,3 index,1282,2,48.72
Shahajhapur,4 index,1100,2,60
Shahapur,3 index,1717,3,125
Shahapur Khadar,2 index,1088,2,46
Shahipur,3 index,1335,2,56
Shahpur Sultanpur,2 index,1200,2,42
Shahzadpur,3 index,1325,2,60
Shamashpur,2 index,1157,2,73
Shamaspur,4 index,2204 - 2362,,121
Sherpur,2 index,1200,2,54
Shikhera,3 index,1510,2,65
Shimla,2 index,1050,2,54
Shirjepur,2 index,1200,2,45
Shivpuri,3 index,1516,3,147
Shodatt,6 index,2400,6,475
Sikandarpur,2 index,1050,2,44.41
Singhpur,2 index,1000,2,66
Sona,2 index,1050,2,35
Sujatpur,4 index,600,5,110
Sultanpur Dabal,2 index,1194,2,65
Tajpura,4 index,600,3,62
Takhawali,2 index,1210,2,69
Tarapur,3 index,1660,3,110
Tarbiyatpur Janubi,2 index,1410,2,125
Tarbiyatpur Shumali,2 index,1305,2,67
Tatina,6 index,1800,6,101
Tigri,2 index,1206,2,53
Tofapur,2 index,883,2,49
Veerkhera,2 index,1150,2,55
Akhtyarpur,2 index,1100,2,65
Alamgirpur-Faridpur,2 index,1245,2,125
Andawali,3 index,1850,3,110
Aterna,4 index,3385,4,220
Atmadnagar Allipur,4 index,2150,3,85
Aurangnagar Rardhana,3 index,3895,3,390
Badruddinnagar Nanu,2 index,1035,2,55
Bahadurpur,2 index,600,3,72
Bahrala,3 index,1200,3,75
Baparsa,2 index,1155,2,69.18
Baparsi,7 index,1200,6,235
Barkali Nekpur,1 index,755,1,30.12
Batjeora,2 index,960,2,35
Bhalsauna,1 index,450,1,20
Bhamori,5 index,4000,5,680
Bharota,3 index,1571,3,53.12
Bhawa-Nagla,3 index,1691,3,119
Bhuni,3 index,1489,2,70
Bihta,2 index,800,2,32
Bubakpur,3 index,980,2,60
Chandna,2 index,1215,2,65
Charla,2 index,911,2,26.5
Chhabariya,3 index,1535,3,90
Chhur,5 index,1200,5,205
